ip_armies_size|部 隊 規 模 
ip_wounds_text|在 較 大 城 鎮 的 醫 師 可 以 在 獲 得 報 酬 的 前 提 下 為 你 療 傷 ， 這 將 花 費 數 天 時 間 ， 此 後 所 有 的 負 面 狀 態 將 被 移 除 。 如 果 未 得 到 及 時 治 療 ， 傷 口 將 轉 變 為 疤 痕 ， 而 負 面 狀 態 將 永 久 存 在 。 
ip_traits|特 性 
ip_traits_text|當 你 達 到 15級 的 時 候 ， 根 據 你 的 技 能 選 擇 可 以 得 到 其 中 一 個 特 性 :^^狂 戰 士： 進 入 狂 暴 模 式 後 你 會 在 戰 斗 中 得 到 速 度 和 力 量 加 成 ， 這 種 狂 暴 狀 態 會 讓 你 視 野 變 紅 。 ^^激 勵： 這 個 技 能 會 在 戰 斗 中 增 加 你 的 統 御 ， 你 的 戰 吼 會 加 強 你 的 部 隊 的 戰 斗 力 。 ^^堅 韌： 這 個 技 能 會 讓 你 的 部 隊 移 動 得 更 快 ， 在 戰 斗 中 增 加 敏 捷 。 ^^強 壯： 你 會 一 直 保 持 部 隊 的 盾 牆 狀 態 ， 護 甲 也 會 更 堅 硬 ， 從 而 使 得 敵 人 難 以 對 其 造 成 傷 害 。 ^^使 用 T鍵 來 在 戰 場 中 發 動 特 性 。 
ip_recruitment|征 募 系 統 
ip_recruitment_text|維 京 征 服 中 不 是 自 動 征 募 ， 而 是 取 決 於 一 系 列 的 因 素 。 首 先 ， 你 需 要 獲 得 許 可 才 能 在 村 莊 、 城 堡 、 鎮 子 來 征 募 士 兵 。 你 需 要 從 村 長 老 或 者 村 子 領 主 那 裡 獲 得 許 可 ， 才 能 夠 在 村 莊 征 募 士 兵 。 至 於 城 鎮 ， 你 需 要 得 到 對 應 領 主 的 許 可 。 ^如 果 你 是 基 督 徒 ， 你 能 在 修 道 院 找 到 一 些 士 兵 ， 也 有 一 定 的 機 會 在 農 場 找 到 願 意 跟 隨 你 的 人 。 要 想 獲 得 領 主 的 征 募 許 可 ， 你 需 要 有 足 夠 的 聲 望（ 150+ ） ， 和 領 主 及 其 陣 營 的 關 系 也 需 良 好 。 有 幾 種 方 式 從 村 長 老 那 裡 獲 得 許 可 。 高 聲 望（ 150+ ） 、 高 關 系（ 15+ ） 或 是 任 何 時 候 賄 賂 村 長 老 都 行 。 賄 賂 有 可 能 會 不 奏 效 ， 所 以 你 可 以 多 賄 賂 幾 次 。 獲 得 許 可 後 ， 只 要 你 和 這 裡 的 關 系 一 直 維 持 良 好 ， 就 可 以 隨 便 征 募 。 （ 重 要：因 為 關 系 降 低 ，你 的 征 募 權 可 被 撤 銷 ，）。在 村 莊 你 只 能 征 募 第 一 層 次 的 士 兵 。 如 果 你 和 這 裡 有 著 足 夠 高 的 關 系（ 60+） ， 那 你 就 可 以 征 募 第 二 層 次 的 士 兵 。 如 果 ^你 擁 有 了 這 個 村 莊 ， 當 你 和 村 莊 關 系 高 於 20時 ， 就 有 50%的 機 會 能 夠 征 募 第 二 層 次 的 士 兵 。 如 果 你 和 村 莊 的 關 系 夠 高（ 30+） ， 就 有 30%的 機 會 征 募 到 第 三 層 次 的 士 兵 。 你 所 能 征 募 的 最 大 數 量 取 決 於 你 和 ^這 裡 的 關 系 、 你 的 領 袖 技 能 、 你 的 魅 力 、 你 的 信 仰 以 及 村 莊 的 主 導 信 仰 ， 這 點 和 你 是 否 擁 有 這 個 村 莊 沒 有 關 系 。 
ip_wages|工 資 
ip_wages_text|維 京 征 服 裡 的 部 隊 工 資 主 要 受 到 玩 家 領 導 能 力 的 影 響 。 對 於 更 高 級 的 兵 種 ， 玩 家 的 說 服 技 能 可 能 會 很 有 用 處 ， 這 取 決 於 你 的 技 能 等 級 。 對 於 法 外 之 徒 的 兵 種 ， 比 如 強 盜 和 維 京 海 盜 ， 玩 家 的 聲 望 值 則 有 不 同 的 作 用 ， 如 果 玩 家 的 名 聲 低 於 惡 名 昭 著 ， 那 麼 他 們 的 工 資 將 打 折 扣 。 
ip_skills|技 能 和 屬 性 
ip_skills_text|當 你 在 維 京 征 服 裡 創 造 或 發 展 一 名 角 色 時 ， 你 需 要 注 意 角 色 的 技 能 和 屬 性 。 技 能 ， 比 如 說 服 或 領 導 ， 對 於 交 易 、 工 資 以 及 與 領 主 和 貴 族 小 姐 的 互 動 非 常 關 鍵 。 屬 性 ， 比 如 智 力 和 魅 力 ， 對 於 上 述 活 動 也 很 重 要 ， 還 會 影 響 到 你 的 婚 姻 和 領 導 能 力 。 ^^至 於 海 上 ， 則 有 三 項 重 要 的 技 能：「 提 督」 、「 導 航」 以 及「 掠 奪」 。 ^^提 督 技 能 水 平 決 定 了 你 所 能 控 制 的 船 只 數 量 。 在 等 級 一 時 ， 你 可 以 控 制 兩 艘 船 。 當 提 高 到 等 級 四 時 ， 你 所 能 控 制 的 船 只 達 到 最 大 值 ， 即 七 艘 。 ^^導 航 技 能 允 許 你 在 海 上 更 快 地 移 動 ， 相 當 於 陸 上 的 追 蹤 技 能（ 提 醒 一 下 ， 追 蹤 技 能 對 於 海 路 沒 有 幫 助） 。 ^^更 高 的 掠 奪 技 能 等 級 將 提 高 你 俘 虜 敵 人 船 只 的 幾 率 。 ^
ip_tactical_controls|戰 術 控 制 
ip_tactical_controls_text|使 用 數 字 鍵 來 選 擇 隊 列 ， 按 0選 擇 所 有 部 隊 。 ^^使 用 F1-F4來 命 令 已 經 選 定 的 隊 列 。 按 住 F1來 安 置 所 選 擇 的 隊 列 。 你 可 以 通 過 如 上 機 制 鎖 定 敵 人 的 部 隊 。 ^^按 回 車 鍵 來 啟 動 戰 略 俯 視 視 角 。 ^^按 BACKSPACE 鍵 來 啟 動 帶 雷 達 的 戰 斗 命 令 提 示 。 ^^按 H 鍵 來 喚 馬（ 需 求 騎 術 至 少 4點） 。 ^^按 Z 鍵 蹲 下 。 ^^按 住 攻 擊 鍵 時 按 下 防 御 鍵 ， 可 以 嘲 諷 對 手 。 ^^按 住 防 御 鍵 時 按 下 攻 擊 鍵 ， 可 以 打 出 一 個 盾 擊 。 ^^在 聯 機 模 式 中 ， 按 住 Q鍵 並 且 按 下 防 御 鍵 ， 可 以 讓 你 嘲 諷 對 手 。 
ip_division_placement|隊 列 部 署 
ip_division_placement_text|當 僅 選 定 了 一 支 隊 列 時 ， 其 前 列 的 中 心 選 定 為 標 記 的 點 。 ^^當 選 定 了 不 止 一 支 隊 列 時 ， 他 們 會 以 玩 家 為 標 記 的 點 分 散 開 來 。 ^^你 可 以 通 過 F2 ， F7來 部 署 選 定 的 隊 列 。 默 認 的 隊 列 部 署 是 步 兵 在 左 翼 ， 騎 兵 在 右 翼 ， 列 隊 前 進 。 玩 家 可 以 通 過 隊 列 部 署 選 項 菜 單 來 選 擇 親 自 領 隊 取 代 所 有 的 既 定 隊 列 部 署 。 ^^如 果 已 經 設 置 了 營 地 菜 單 ， 所 有 隊 列 會 輪 流 迎 敵 。 否 則 ， 他 們 會 保 持 玩 家 的 隊 列 部 署 。 
ip_formations|陣 型 
ip_formations_text|戰 斗 菜 單 中 的 陣 型 如 下： ^^- 長 蛇 陣 ， 最 好 的 隊 伍 將 會 被 放 置 在 前 列 。 ^- 盾 牆 陣 ， 持 盾 的 戰 士 將 會 被 放 置 在 前 列 ， 長 武 器 會 在 其 後 掩 護 。 ^- 楔 形 陣 ， 最 好 的 隊 伍 會 被 放 置 在 前 列 。 ^- 方 形 陣 ， 沒 有 特 定 的 順 序 。 ^- 無 陣 型 。 ^^即 使 是 在 無 陣 型 的 情 況 下 ， 玩 家 也 可 以 通 過 命 令 隊 伍 緊 密 站 隊 來 將 他 們 組 織 成 四 行 。 
ip_dog_companion|犬 類 同 伴 
ip_dog_companion_text|當 你 在 四 處 徘 徊 神 游 時 ， 如 果 突 然 聽 見 一 陣 犬 吠 ， 並 且 很 幸 運 的 隨 身 帶 著 一 根 香 腸 。 這 就 將 開 啟 一 段 友 誼 。 你 的 犬 類 同 伴 會 不 離 你 左 右 ， 即 便 是 在 戰 場 上 ， 並 且 你 可 以 為 他 命 名 。（ 在 戰 場 上 ， 你 的 狗 會 被 放 置 在 隊 列 9 。） 給 它 好 的 食 物 ，你 的 犬 類 同 伴 的 技 能 和 能 力 可 以 提 高 。
ip_rents|地 租 
ip_rents_text|你 的 每 個 領 地 都 會 生 產 地 租 。 從 長 遠 來 看 ， 地 租 是 平 均 且 穩 定 的 ， 但 是 支 付 頻 率 是 變 動 的 。 有 時 候 你 每 周 都 能 獲 得 地 租 ， 但 是 也 有 些 時 候 好 幾 周 你 都 會 一 無 所 獲 。 如 果 地 租 沒 有 在 正 常 時 間 交 付 ， 在 你 的 財 務 決 算 中 會 標 注 出 你 應 獲 而 未 支 付 的 地 租 。 如 果 村 莊 或 者 城 鎮 被 劫 掠 乃 至 洗 劫 一 空 。 你 的 財 務 決 算 中 會 標 注 出 當 前 無 可 用 地 租 。 當 你 的 領 地 從 劫 掠 中 恢 復 正 常 ， 會 繼 續 產 生 地 租 。 地 租 會 受 到 繁 榮 度 、 特 殊 建 築 、 宗 教 信 仰 、 稅 率 和 游 戲 難 度 的 影 響 。 特 殊 建 築 可 以 在 領 地 遭 到 劫 掠 後 仍 然 繼 續 產 生 地 租 。 
ip_quarters|崗 哨 
ip_quarters_text|崗 哨 可 以 讓 你 放 置 一 些 你 的 隊 伍 在 大 地 圖 上 的 特 定 地 點 。 你 可 以 最 多 擁 有 兩 個 崗 哨 。 ^^在 以 下 情 況 下 ， 崗 哨 會 很 有 用： ^- 當 你 需 要 乘 船 ， 但 是 你 付 不 起 所 有 人 的 船 票 。 ^- 當 你 的 船 的 容 量 不 足 以 一 次 承 載 你 隊 伍 中 所 有 人 。 ^- 當 你 需 要 潛 行 進 一 座 城 鎮 。 ^- 當 你 需 要 快 速 行 軍 。 
